USC00013781          31P    37P    35P    28P    42P    25P    28P    32P    24P    25P    31P    31P
USC00013816          35S    36S    35S    27C    23S    38C    31C    30C    25S    19S    32S    28S
USC00013930          35C    36S    34C    26C    31S    29C    28C    25C    21C    23S    35C    33C
USC00014080          35P    30P    38P    26P    27P    28P    40P    21P    20P    21P    28P    31P
USC00014193          37P    37S    35S    25P    28P    37S    41S    33S    23S    22S    32P    33P
USC00014209          37P    35S    35S    32S    30S    31S    28P    23P    20P    20S    30S    31S
USC00014226          39S    36S    38S    35S    39S    37S    40S    26S    24S    27S    38S    41P
USC00014274          38C    35S    34C    27S    25C    30S    34S    23C    25S    21C    31C    32C
USC00014306          30P    36P    26P    24P    22P    22P    29P    22P    15P    18P    26P    28P
USC00014431          40P    34P    37P    23P    25P    39P    43P    30P    25P    18P    35P    26P
USC00014502          36S    34S    36S    33S    28S    29S    39S    27S    25S    20S    26S    33S
USC00014603          30P    33P    28P    25P    29P    23P    39P    21P    15P    23P    29P    33P
USC00014619          37S    36S    34S    31S    33S    33S    35S    26S    27S    24S    34S    32S
USC00014798          33S    34S    34C    28S    28C    30S    36S    27S    22S    25S    31S    35S
USC00014866          29P    31P    27P    25P    32P    25P    26P    22P    21P    21P    30P    29P
USC00015112          40P    41P    34P    27P    25P    26P    33P    27P    21P    26P    34P    37P
USC00015121          40C    37C    34C    30C    23C    28C    34C    28C    22C    23C    33C    37C
USC00015420          39S    37C    32C    26C    24C    28C    30C    25C    19C    20C    30C    33S
USC00015439          34S    35S    33S    29C    24S    27S    31S    25S    28S    18S    28C    32S
USC00015465          38P    36P    33P    28P    26P    20P    32P    19P    19P    25P    35P    36P
USC00015537          35P    36P    34P    31P    30P    37P    34P    29P    23P    22P    36P    38P
USC00015635          35S    37S    36S    33S    39S    30S    28S    24S    27S    25S    39S    39S
USC00015658          39S    39S    35S    33S    30S    29S    33S    26S    24S    26S    36S    35S
USC00016000          41P    37P    33P    34P    31P    37P    33P    28P    20P    26P    33P    38P
USC00016121          37S    37S    36P    36P    29P    37S    35S    20S    23S    23S    34S    37P
USC00016129          36S    36S    37P    26S    25S    30S    40S    24S    27P    20S    31S    34S
USC00016246          37S    36S    37S    31S    33S    35S    33S    26S    26S    24S    33S    36S
USC00016334          44P    48P    36P    29P    32P    29P    36P    24P    25P    25P    38P    33P
USC00016436          37C    36S    35C    26C    27C    29S    36S    27C    23C    22C    34S    32S
USC00016478          36C    37C    39C    31C    35C    30C    32C    23S    26C    26C    35C    35C
USC00016847          42S    36C    35C    33S    29S    32C    30S    25S    22C    26C    35C    37C
USC00016988          38S    34C    33C    25C    24C    40C    50S    45C    31S    24C    30S    29S
USC00017020          33P    41P    35P    31P    26P    22P    43P    32P    25P    19P    31P    38P
USC00017025          34P    34P    31P    30P    24P    29P    32P    21P    22P    15P    28P    36P
USC00017131          38C    38C    34C    34S    34S    31S    34S    24S    26S    27S    33S    35S
USC00017157          40C    41C    38C    35C    35C    33S    32S    32C    28C    25S    37C    38S
USC00017207          37C    34C    37C    34S    28C    29C    30C    23C    24S    22C    33S    34S
USC00017304          40S    37C    37S    34C    32P    27S    36S    23S    30S    23S    34S    39S
USC00017366          34S    37C    31C    27C    22C    29C    33C    28C    18S    19C    31C    32S
USC00017947          35P    34S    36S    31S    34S    35S    32S    27S    26S    28S    31S    35S
USC00017999          34S    37S    35S    27S    28S    32S    31S    27S    23S    22S    34S    33C
USC00018024          35C    39S    36S    27S    31S    30C    35C    27C    23C    25S    35S    31S
USC00018038          30C    32C    35C    27C    26C    26C    32C    26C    18S    19S    27C    33S
USC00018178          40S    36S    34S    24S    30S    31S    41C    23S    25C    22S    36C    33C
USC00018209          36S    38S    37S    27S    27S    33C    33C    25C    25S    21C    31S    37S
USC00018323          33S    30C    36C    25S    25S    38S    36S    31S    24S    17S    31S    29S
USC00018380          38C    39C    36C    29C    30S    32S    35S    29S    23S    25S    38S    36C
USC00018385          36S    38S    35S    29S    31S    31S    28S    25S    19S    25S    33S    33S
USC00018438          38C    31S    37C    29C    28C    35C    38C    31C    30S    19C    33C    30S
USC00018469          38C    35C    34C    33C    28C    29C    33C    21C    26C    22C    32C    36C
USC00018517          36P    35S    39P    30S    32S    32S    31P    21S    21S    23S    37P    38S
USC00018605          32P    37P    30P    26P    28P    22P    40P    20P    15P    23P    29P    34P
USC00018648          47P    40P    42P    39P    39P    43P    29P    27P    26P    19P    35P    43P
USC00018653          34P    36P    40P    27P    24P    33P    29P    29P    28P    21P    26P    31P
USC00018673          39C    40C    37C    32C    31C    27S    31S    26S    25C    25S    34C    37C
USC00018755          31P    34P    30P    32P    24P    21P    27P    19P    17P    21P    28P    31P
USC00018809          41C    39S    34C    29C    30C    31C    35C    26C    26C    25C    38C    38C
USC00018859          32C    37S    34S    27S    24C    30S    35C    30S    22S    21C    29S    32S
USC00018867          39S    40S    33S    27S    28S    38S    43S    24S    20P    22P    36P    33P
USC00018998          39S    43S    35S    35S    33C    37C    29C    27S    25C    27S    42C    40C
USC00020060           5P     8P     5S -7777S     1S -7777S     5S     7P     6P     4P     3S     6S
USC00020080           3S     4C     3S     1S     0S     0S     3S     9S     4S     3S     1C     3S
USC00020100           8C     9C     7C     1C     0C -7777S     4C    10C     5C     4C     5S     5C
USC00020159           4S     5C     5S     2S     3S     4C    22C    27S    12C    14C     8C     9C
USC00020174           8P    11P     8P     4P     6P     1P    20P    20P    13P    14P    10P    12P
USC00020287           5C     4S     4S -7777S     1C     2C    20C    16S     9C     5C     3C     5C
USC00020288          12P    11P     9P     4P     2P -7777P     7P    10P     4P     4P     5P    11P
USC00020380           9P     9P     8P     5P     2P     2P    30P    34P    11P     8P     7P    11P
USC00020498          10S    10S    10S     2S -7777S     0S     7S    12S     7S     5S     6S     9S
USC00020586          16P    17P    11P     5P     3P     1P     7P    16P     8P     8P     4P     9P
USC00020632          10S    11S    13C     4S     1C     0C     8S    11S     9C     8C     7S    11S
USC00020670          10S    10P     9P     4P -7777S     1S    13P    14P    15P    11P     8P     8P
USC00020672           3S     7S     4P     1P     0S     1P     4P     5P     2P     3P     2P     3S
USC00020678          13P    14P     8P     5P     2P     1P    16P    17P    11P    15P     7P    12P
USC00020683           2P     3P     3P     2P     1P     1P    16P    22P    12P     4P     2P     5P
USC00020750           6C     5C     3C     4C     2C -7777C     6C    11C    10C     9C     4C     6S
USC00020775           7P     7P     7P     3P     1P     3P    25P    31P    14P     7P     6P     8P
USC00020808          11S     9C     8S     3S     4S     3S    24S    22S    14S     8S     5S     9S
USC00020949           3C     5C     2S     1C     1C     0C     3C     6C     4C     2C     1C     4C
USC00020958           6S     5S     2S -7777S     2S     2S    14S    14S     8S     6S     3S     9S
USC00021001          27C    25S    21S    13P     3S     2C    11C    17S    11C    11S    13S    18S
USC00021026           3P     6P     5P     2P     1P     1P     6P     9P     6P     3P     5P     9P
USC00021050           8C     7C     7C     1C -7777C     0S     1C     6C     2C     3C     4C     4C
USC00021231          10S     9S     8S     3S     1S     2S    29S    29S    11S     8S     5S    11S
USC00021248           2S     3C     1C     3C     2C     2C     5C     6S     4C     4C     3S     3S
USC00021282          13S    13S    13S     3S     1S -7777S     7S     9S     7S     8S     7S     8S
USC00021306           6S     5S     6S     1S     1S     0S     5S    12S     6S     3P     4S     9S
USC00021314           4C     6C     6C     2C     1C -7777C     8S     7C     4C     5C     5C     7S
USC00021330           6C     7S     6S     2C     1C     1S    15C    16S     9C     6S     4S     7S
USC00021353          13S    14S    15S     4S     1C     1C     8S    14S     9S     8S     9S    11S
USC00021514           9P    10P     8P     3S     1P     0P     5P    10P     5P     4P     8P    10P
USC00021574           6P     8P     9P     2P     4P     2P    15P    21P    12P     7P     9P     5P
USC00021614          11P    15P    13P     5P     2P -7777P    15P    18P    15P    10P     9P    11P
USC00021664          11S     9S    10S     4S     1S     3S    26S    28S    10S     9S    11S    13S
USC00021849           9S     9S     8S     4S     3S     3S    16S    23S    10S    10S     9S     9S
USC00021920           9S    12C     8C     6C     2C     2C     7C     9S     7S     6C     6C     7C
USC00022109          11C    13C    10C     3C     2C -7777C    14C    14S    12C     6S     7C     9C
USC00022140          13C    12C     9C     3S     2C     5C    33S    31S    13C     9S     7S    13S
USC00022434           4S     3P     3S     1S     0S     0P     1P     4P     5P     3P     3P     6P
USC00022659           5P     3P     3P     1P     2P     1P    22P    24P     9P     7P     5P     5P
USC00022754           5C     5C     2C     1S     1C     1C    14C    17S     6S     6S     5S     7S
USC00022790           2P     4S     2P     1P -7777S     0S     2S     6S     4P     2S     2P     6P
USC00022807           7P     9P    10P     1P     2P -7777P     6P    14P     7P     7P     6P    12P
USC00023009          13P    13P    13P     9P     3S     2S    16S    21S    14S    12S     8S    11S
USC00023027           6S     9S     5S     2S     2S     0S     9S    10P     5S     3P     5P    11S
USC00023150           4S     6C     4C     1C     2C     1C    10C    10S     8C     5S     2S     7S
USC00023160          17S    17P    13S     5S     5S     1S    14S    19S    12S     8S     8S    11S
USC00023190          10C     9C    12C     3C     1C     1C     7C     8C     7C     4S     6C     8C
USC00023393           4C     7C     4C     2C     1C     0C     4C     7C     3C     2C     4C     5S
USC00023448          15C    13C    14C     3C     2C -7777C    12C    16C     9C     8C     9C    12C
USC00023505           6P    10P     9P     3P     2P     2P    13P    20P     8P     9P     9P     8P
USC00023596           8S     7S     8S     4S     2S     1S    11S    15S     6S     7S     7S     7S
USC00023668           2P     5P     5P     1P     1P     3P    23P    20P     9P     5P     3P     5P
USC00023683           5S     5S     8S     4S     3S     4C    22S    33S    13C    10C     8S     8S
USC00024053          14P    15P    15P     6P     2P     1P     6P    15P     8P     6P    10P    11P
USC00024089           2C     2C     3S -7777C     1C     1C     6S     8S     8S     4S     3S     3S
USC00024182          12C    13C    12C     3C     1C     1S     9S     9C     8C     7C     6C     9S
USC00024391          14P    16P    20P     8P     4P     2P    12P    20P    14P    12P    11P    11P
USC00024453           9S    11C    13S     6S     3S     1S    14S    21S    10S     8S     6S     8S
USC00024590           7P    10P    11P     4P     2P     1S    10S    11P     5S     4S     9P     9P
USC00024675          11C    11C    13S     2C     3C     1C    33C    34C    16S     9S     6S    13C
USC00024702           6C     4C     3C     1C     1C     0S     5C     8C     4S     2C     4C     5C
USC00024761           3P     4P     2P     1P     0P     0P     1P     2P     2P     2P     2P     2P
USC00024829           4C     7C     6C     1S     1C -7777C     9C     6C     4S     4C     5C     7C
USC00024849           1P     2S     2P     2P     1P     0S     5P     6P     2P     6P     3P     1P
USC00024977           7P    10P     7P     1P     0P -7777P     7P     7P     6P     3P     4P     9P
USC00025129           3P     1P     1P     2P     3S     3S    11S    11P     9S     6S     4P     4P
USC00025270           5C     6C     5C     1S -7777C -7777C     8C     6C     4C     3C     3C     7C
USC00025412          16C    14S    14C     5S     3C     3C    22S    25C    16C    13S    13C    16S
USC00025418           4C     3C     1C     1C     1S     2C    13C    21C     7C     6C     4S     5S
USC00025467           7C     8C     7C     3C     1C     0S     6C     7S     6C     4C     4C     8C
USC00025512          16S    13S    15S     3S     1S     1S    13S    14S     9S     8S     8S    13S
USC00025635           8S     8S     7S     4C     2S     1C     9C    13C    13S     7S     6S     8S
USC00025665           1S     2S     1P     2S     2P     0S     4S     4S     5S     6S     3P     1P
USC00025700          14S    11S    12S     4P     1S     0S    10S    12S     7S     5S     8S    13P
USC00025780          21P    19P    17P     9P     5P     2P    13P    18P    14P    13P     9P    15P
USC00025908           6P     5P     8P     2P     1P     2P    16P    17P    12P     8P     5P    11P
USC00025924           9C     6C     5C     4C     1C     3C    32C    26S    10S     8S     2S    11S
