USC00020288           6P     3P     3P     2P -7777P     0P     2P     3P -7777P     1P     3P     4P
USC00020380           2P     2P     1P     1P     0P     2P    10P    10P     4P     3P     2P     3P
USC00020498           3S     2S     3S -7777S     0S     0S     2S     3S     3S     1S     1S     2S
USC00020586           7P    10P     4P     0P     0P -7777P     3P     4P     3P     3P     1P     4P
USC00020632           4S     3S     4C     1S     0C     0C     2S     6S     2C     3C     2S     5S
USC00020670           2S     3P -7777P     2P     0S     0S     6P     4P     4P     2P     2P     1P
USC00020672       -7777S     0S     0P     0P     0S     0P -7777P -7777P -7777P     1P     0P     1S
USC00020678           4P     2P     0P     0P     0P     0P     5P     5P     2P     5P     3P     3P
USC00020683           1P     0P     1P     0P     0P     1P     7P     4P     2P     2P     1P     2P
USC00020750           2C -7777C -7777C -7777C     1C     0C -7777C     1C     2C     2C     1C     1S
USC00020775           3P     2P     1P     2P     0P     1P    11P    13P     4P     3P     1P     3P
USC00020808           3S     1C     2S -7777S -7777S -7777S     7S     4S     4S     2S     1S     2S
USC00020949       -7777C     1C -7777S     1C -7777C     0C     0C     2C     1C -7777C     0C     1C
USC00020958       -7777S     0S     0S     0S -7777S -7777S     5S     5S     1S     3S     1S     2S
USC00021001           9C     8S     7S     3P -7777S     0C     4C     6S     4C     4S     4S     5S
USC00021026           0P     1P     1P     1P     0P     1P     2P     5P     3P -7777P     1P     3P
USC00021050           2C     2C     1C     0C     0C     0S     1C     2C     1C     1C     1C     1C
USC00021231           3S     1S     1S     1S     0S -7777S     7S     6S     3S     4S     1S     3S
USC00021248       -7777S     1C     0C     1C     0C -7777C     2C     1S     1C     0C     1S -7777S
USC00021282           7S     3S     5S     1S     0S -7777S     2S     3S     3S     2S     2S     3S
USC00021306           1S     1S     2S     0S     0S     0S     1S     6S     2S     2P     1S     1S
USC00021314           1C     1C     1C -7777C     0C     0C     2S     2C     1C     1C     1C     1S
USC00021330           2C     1S     0S     0C     0C -7777S     4C     7S     3C     2S     1S     3S
USC00021353           6S     7S     4S     1S     0C     0C     3S     4S     4S     2S     4S     6S
USC00021514           1P     3P     2P     1S     0P     0P     3P     3P     2P     1P     2P     3P
USC00021574           1P     1P     2P     1P -7777P     0P     5P     7P     4P     3P     3P     2P
USC00021614           5P     7P     4P     2P     0P     0P     3P     6P     5P     3P     3P     4P
USC00021664           3S     2S     1S     0S     0S     2S     6S    11S     2S     4S     2S     4S
USC00021849           2S     1S     1S     0S     1S -7777S     3S     5S     3S     2S     1S     1S
USC00021920           1S     2C     1C     1C     1C     0C     2C     2S     3S     2C     1C     1C
USC00022109           5C     4C     2C     1C     0C     0C     4C     5S     5C     2S     4C     4C
USC00022140           3C     3C     1C     1S     0C     1C     8S    10S     5C     4S     2S     5S
USC00022434           1S     1P -7777S     0S     0S     0P -7777P     1P     1P -7777P     2P     1P
USC00022659       -7777P -7777P     1P -7777P     0P -7777P     7P     8P     3P     1P -7777P     2P
USC00022754           1C -7777C     0C     0S -7777C     1C     4C     4S     1S     2S     1S     1S
USC00022790       -7777P -7777S     1P     0P     0S     0S -7777S     3S     2P     0S -7777P     1P
USC00022807           2P     3P     2P -7777P -7777P     0P     2P     4P     3P     2P     2P     3P
USC00023009           5P     6P     3P     1P     0S -7777S     2S     6S     6S     4S     3S     4S
USC00023027           1S     2S     1S     1S     1S     0S     5S     2P     2S     2P     1P     3S
USC00023150       -7777S     1C     1C -7777C -7777C     0C     2C     2S     1C     1S     1S     1S
USC00023160           6S     4P     3S     1S     0S     0S     4S     6S     6S     2S     4S     2S
